ano 	mes	   co2 
1958	1	314
1958	2	314
1958	3	314,44
1958	4	315,16
1958	5	314,71
1958	6	315,14
1958	7	315,19
1958	8	316,19
1958	9	316,08
1958	10	315,4
1958	11	315,2
1958	12	315,43
1959	1	315,54
1959	2	315,86
1959	3	315,38
1959	4	315,42
1959	5	315,49
1959	6	316,03
1959	7	315,86
1959	8	316,06
1959	9	316,73
1959	10	316,33
1959	11	316,68
1959	12	316,35
1960	1	316,39
1960	2	316,35
1960	3	316,28
1960	4	316,7
1960	5	317,22
1960	6	317,48
1960	7	317,52
1960	8	317,2
1960	9	317,08
1960	10	316,83
1960	11	316,88
1960	12	316,96
1961	1	316,85
1961	2	317,07
1961	3	317,26
1961	4	317,16
1961	5	317,76
1961	6	317,63
1961	7	317,88
1961	8	318,06
1961	9	317,9
1961	10	318,32
1961	11	317,99
1961	12	317,78
1962	1	317,9
1962	2	317,92
1962	3	318,4
1962	4	318,24
1962	5	318,18
1962	6	318,47
1962	7	318,93
1962	8	318,68
1962	9	319,17
1962	10	318,44
1962	11	318,58
1962	12	318,47
1963	1	318,7
1963	2	318,43
1963	3	318,57
1963	4	319,05
1963	5	319,4
1963	6	319,33
1963	7	319,06
1963	8	319,05
1963	9	319,14
1963	10	319,02
1963	11	318,97
1963	12	319,13
1964	1	319,53
1964	2	319,36
1964	3	319,4
1964	4	319,45
1964	5	319,4
1964	6	319,75
1964	7	319,78
1964	8	320,01
1964	9	319,66
1964	10	319,91
1964	11	319,58
1964	12	319,49
1965	1	319,4
1965	2	319,81
1965	3	319,59
1965	4	319,78
1965	5	319,3
1965	6	319,7
1965	7	320,52
1965	8	320,16
1965	9	320,77
1965	10	320,36
1965	11	320,78
1965	12	320,2
1966	1	320,58
1966	2	320,95
1966	3	321,09
1966	4	321,34
1966	5	321,2
1966	6	321,57
1966	7	321,69
1966	8	321,66
1966	9	321,6
1966	10	321,17
1966	11	321,7
1966	12	321,81
1967	1	322,29
1967	2	321,85
1967	3	321,73
1967	4	322,05
1967	5	322,11
1967	6	321,91
1967	7	321,85
1967	8	322,22
1967	9	322,23
1967	10	322,47
1967	11	322,65
1967	12	322,74
1968	1	322,53
1968	2	322,5
1968	3	322,55
1968	4	322,62
1968	5	322,68
1968	6	323,19
1968	7	323,47
1968	8	323,44
1968	9	323,32
1968	10	323,33
1968	11	323,25
1968	12	323,68
1969	1	323,96
1969	2	323,77
1969	3	324,32
1969	4	324,28
1969	5	324,48
1969	6	324,51
1969	7	325,18
1969	8	324,97
1969	9	325,37
1969	10	324,88
1969	11	324,79
1969	12	324,91
1970	1	325,02
1970	2	325,33
1970	3	325,61
1970	4	325,74
1970	5	325,16
1970	6	325,46
1970	7	325,64
1970	8	326
1970	9	326,1
1970	10	326,18
1970	11	325,95
1970	12	325,93
1971	1	326,13
1971	2	326,03
1971	3	325,85
1971	4	325,38
1971	5	326
1971	6	326,36
1971	7	326,65
1971	8	326,75
1971	9	326,37
1971	10	326,68
1971	11	326,75
1971	12	326,81
1972	1	326,73
1972	2	326,98
1972	3	326,4
1972	4	327,29
1972	5	327,13
1972	6	326,89
1972	7	327,36
1972	8	327,67
1972	9	327,87
1972	10	328,33
1972	11	328,45
1972	12	328,35
1973	1	328,5
1973	2	328,9
1973	3	328,97
1973	4	329,08
1973	5	329,53
1973	6	329,84
